@relation weka-instances

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute class {1,2}

@data
140.076389,222.333333,86.777778,505.111111,23.853462,1
122.871528,240.611111,110.111111,704.611111,20.232598,1
130.40677,187.383178,80.738318,220.308411,13.679038,1
103.851563,224.083333,100.916667,650.375,20.136987,1
144.26009,240.464286,135.071429,381.821429,18.584439,1
133.68207,229.823529,103.470588,730.294118,22.92473,1
138.048649,216.514286,112.4,533.942857,28.63741,2
139.014423,198.923077,79.230769,344.384615,24.720449,1
128.35239,200.313433,94.641791,313.597015,30.056337,1
128.840336,170.933333,71.666667,287,23.553815,1
129.463329,203.516854,88.955056,341.449438,17.43296,1
131.771062,200.463768,100.304348,240.101449,16.007612,1
94.679688,246.875,109.125,766.625,25.548973,1
119.296875,229.166667,108.083333,660.25,34.223124,1
146.446429,213.928571,97.214286,653.071429,29.040436,1
138.951705,234.454546,153.318182,514.454546,32.710507,2
132.873786,198.923077,96.153846,549.538462,26.323882,1
137.165049,205.769231,91.961538,375.038462,25.824081,1
115.467298,240.479452,131.191781,463.178082,25.07606,1
174.326389,263.888889,154.888889,316.555556,8.061492,1
126.401378,231.15,105.53,704.05,31.896238,1
139.770173,218.655172,100.195402,475.183908,25.093631,1
129.228659,251.804878,150.707317,257.146342,20.399899,1
127.583333,216.363636,92.909091,578.409091,28.288982,1
121.925,205.533333,92.2,426.6,24.551443,1
109.895105,201.888889,96.944444,486.166667,14.477846,1
125.441253,338.395833,228.020833,591.333333,47.87549,1
107.044643,212.476191,125.380952,464.761905,21.262531,2
133.343701,247.02521,132.747899,450.747899,22.827718,1
118.970588,244,113.653061,858.22449,29.165258,1
127.433613,185.451327,80.787611,256.522124,15.963498,1
132.656294,204.977778,90.496296,521.266667,34.915976,1
128.26227,182.95122,75.658537,285.634146,23.560622,1
150.859375,220,103,622,25.357137,1
132.822917,218.833333,97.166667,715.666667,27.127272,1
110.931343,219.833333,98.928571,694.5,18.809283,1
134.604061,206.6,97.76,332.56,15.458021,1
134.119789,217.419708,98.60219,546.416058,30.872029,1
115.743049,195.15,85.45,401.6,26.559655,1
137.305714,237.863636,127.863636,419.772727,24.769182,1
130.686352,211.902778,99.715278,386.534722,42.954549,1
130.032641,299.369128,182.496644,513.771812,23.469295,1
119.977645,502.571429,519.011905,796.452381,41.841949,1
123.5141,229.724138,118.310345,621.793103,18.018025,1
133.149351,186.413793,77.517241,281.689655,28.961453,1
124.343494,239.240741,116.37037,441.537037,25.26456,1
130.36229,213.726316,123.705263,153.768421,10.929104,1
132.422464,202.885058,101.229885,242.793103,21.763092,1
156.4375,237.857143,112.714286,828.142857,19.557346,1
125.740192,220.438424,114.463054,415.837438,33.05827,1
136.09596,201.4,111.4,444.6,16.553622,2
147.454023,202.636364,96.409091,549.772727,19.930302,1
123.247465,202.274194,110.483871,460.225807,18.712152,2
160.0625,237.666667,107,771.333333,18.660713,1
145.654605,221.894737,96.842105,536.31579,29.617319,1
124.4125,218.6,103.4,617.1,14.754321,1
145.46875,219.2,105.8,695.8,15.18025,1
144.118421,226.947368,100.473684,647.578947,19.215068,1
126.05615,195,89.489362,379.744681,28.286896,1
144.523499,180.083333,82.645833,327.666667,13.929822,1
109.226191,321.4375,232.90625,449.8125,10.574097,1
148.248918,316.827586,207.586207,380.034483,38.422335,1
125.788117,194.125,89.446429,380.982143,16.958373,1
121.369231,197.714286,85.204082,455.897959,30.740371,1
135.584203,212.198413,92.619048,640.619048,31.726015,1
135.995516,202.785714,103.642857,559.928571,19.22225,1
147.601156,232.818182,117.545455,467,29.058789,1
124.887896,220.903915,100.3879,577.83274,35.434272,1
117.1875,197.692308,87.461538,510.538462,21.855632,1
135.035294,194.729167,82.979167,414.854167,17.754499,1
119.561939,189.728571,79.5,392.842857,30.273748,1
124.010204,215.594595,117.027027,477.297297,24.574628,2
136.270936,187,85.538462,340.153846,20.938908,1
117.96875,226,100,517,16.186414,1
134.28273,262.088889,167.333333,426.466667,14.229859,1
118.91685,204.307018,89.201754,509.008772,25.23995,1
132.270115,226.090909,100.818182,677.181818,31.208443,1
135.337423,196.16129,112.774194,487.354839,13.547926,2
126.828125,232.75,101.25,636.75,19.702474,1
135.493528,214.974359,101.25641,457.076923,24.410526,1
158.678733,208.285714,94.5,438.071429,8.362025,1
138.334056,166.931035,67.103448,317.517241,14.91474,1
122.662429,352.573034,233.370787,372.865169,21.703584,1
124.08,219.159091,98.25,638.068182,22.000223,1
126.457123,207.595506,110.460674,446.123596,23.712109,2
123.825719,218.297297,99.837838,650.783784,24.95527,1
134.53592,200.75,90.772727,424.340909,18.704145,1
128.219879,202.619048,87.714286,424.666667,16.988325,1
126.996,259.851064,123.446809,809.170213,12.075363,1
152.006944,213.444444,100.444444,718.555556,31.257987,1
166.546875,218,107,732,10.963006,1
121.093279,209.706522,94.021739,418.673913,18.972645,1
143.127315,241.777778,112.111111,620.185185,31.657937,1
136.61978,196.77193,88.070175,481.263158,21.051974,1
124.970238,218.095238,97.428571,595.857143,40.781037,1
125.988959,178.875,74.675,258.175,11.85232,1
126.34902,222,106,559.0625,47.075073,1
130.118358,230.230769,104.192308,689.346154,16.023282,1
124.678832,308.742857,204.628571,387.485714,7.588606,1
130.25,256.476923,153.169231,429.707692,23.371272,1
127.779324,199.5,91.34375,427.15625,17.853571,1
133.224138,203.471338,91.515924,514.872611,29.322683,1
112.902153,244.875,114,612,27.769542,1
118.583582,195.309524,88.285714,334,24.008466,1
162.21875,221,107,437,9,1
134.667233,234.256757,114.72973,504.283784,44.557882,1
136.175,236.4,99,561,38.535179,1
135.548684,223.458333,107.479167,236.479167,20.989415,1
121.829146,214.04,92.68,516.56,32.015396,1
132.70916,172.437909,69.738562,144.875817,5.7724,1
115.608108,251.5,123.678571,564.75,23.460208,1
142.307018,206.655172,102.172414,524.896552,23.638931,1
138.743456,194.805556,84.041667,470.625,27.889494,1
113.4125,243.066667,110.333333,808.266667,19.074124,1
135.655952,199.169811,89.849057,441.660377,22.928651,1
123.208333,238,109,774,24.143092,1
134.226191,207.333333,97.52381,542.380952,23.30455,1
126.8875,204.6,92,572,28.244646,1
119.739675,232.9,120.42,503.36,26.756861,1
145.177966,218.466667,102.4,571.533333,27.516783,1
129.784431,193.428571,84.809524,469.428571,9.036083,1
111.310526,403.75,302.541667,447.333333,15.725952,1
139.704301,247.638298,119.617021,623.191489,20.959574,1
116.245283,201.275,87.1,407.275,17.42491,1
137.897906,238.125,112.5,696.041667,34.3983,1
132.023224,231.434783,101.130435,765.021739,25.325033,1
105.153409,200.181818,95.818182,503.181818,26.887891,1
121.020833,230.866667,104.266667,605.7,21.81969,1
118.527335,273.890909,166.363636,398.436364,31.399184,1
120.199678,190.179487,84.461538,385.179487,34.641263,1
132.157895,212.213115,99.52459,532.786885,29.276128,1
130.820713,345.070175,232.45614,358.438597,24.046329,1
130.884146,214.147436,103.00641,163.403846,15.860819,1
110.207824,215.615385,99.230769,562.730769,24.653006,1
122.770206,184.75,90.55,218,12.22661,1
146.239583,211.666667,96.5,582.583333,14.876342,1
121.14548,231.481752,113.912409,460.364964,26.106539,1
154.905063,263.5,125.1,701.1,14.466859,1
141.405556,213.632353,99.970588,451.235294,22.176588,1
111.839286,203.142857,91.142857,575.714286,15.67609,1
126.742816,220.159091,100.636364,528.886364,17.735357,1
126.615535,214.719626,101.984424,559.286604,32.804,1
140.430818,195.85,86.65,524.4,11.24322,1
121.565619,221.911765,94.970588,465.294118,21.744824,1
112.535777,250.611111,114.805556,617.305556,23.729231,1
122.488108,222.459016,99.606557,650.42623,27.468787,1
136.78979,210.333333,92.809524,596.714286,25.719929,1
119.808889,216.352113,121.211268,485.338028,22.471027,2
123.931168,220.384615,104.607692,665.484615,21.518485,1
126.666667,246.113208,143.849057,440.584906,35.59827,1
124.594915,465.891892,377.810811,526.054054,104.364101,1
149.75,245,113.5,685.5,27.5,1
123.388814,433.096774,403.672043,686.354839,24.618737,1
91.96875,221.25,110,343.75,15.811388,1
140.710227,225.090909,100.272727,672.727273,18.776194,1
123.526627,203.34375,90.984375,419.28125,20.884728,1
131.71875,219.5,96.25,653.25,30.855735,1
129.285714,204.744186,88.744186,496.488372,34.597164,1
122.971345,223.348837,98.837209,794.930233,34.241112,1
131.116672,200.287879,88.474747,416.025253,39.354357,1
120.13442,217.596774,98.129032,503.193548,21.831829,1
113.666667,207.555556,88.166667,479.277778,43.438512,1
113.89375,237.8,114.2,536.4,26.128289,1
